Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 73069
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 12.15
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1224: 10180
Generation 1225: 10180
Generation 1226: 10180
Generation 1227: 10180
Generation 1228: 10180
Generation 1229: 10180
Generation 1230: 10180
Generation 1231: 10180
Generation 1232: 10180
Generation 1233: 10180
Generation 1234: 10180
Generation 1235: 10180
Generation 1236: 10180
Generation 1237: 10180
Generation 1238: 10180
Generation 1239: 10180
Generation 1240: 10180
Generation 1241: 10180
Generation 1242: 10180
Generation 1243: 10180
Generation 1244: 10180
Generation 1245: 10180
Generation 1246: 10180
Generation 1247: 10180
Generation 1248: 10180
Generation 1249: 10180
Generation 1250: 10180
Generation 1251: 10180
Generation 1252: 10180
Generation 1253: 10180
Generation 1254: 10180
Generation 1255: 10180
Generation 1256: 10180
Generation 1257: 10180
Generation 1258: 10180
Generation 1259: 10180
Generation 1260: 10180
Generation 1261: 10180
Generation 1262: 10180
Generation 1263: 10180
Generation 1264: 10180
Generation 1265: 10180
Generation 1266: 10180
Generation 1267: 10180
Generation 1268: 10180
Generation 1269: 10180
Generation 1270: 10180
Generation 1271: 10180
Generation 1272: 10180
Generation 1273: 10180
Generation 1274: 10180
Generation 1275: 10180
Generation 1276: 10180
Generation 1277: 10180
Generation 1278: 10180
Generation 1279: 10180
Generation 1280: 10180
Generation 1281: 10180
Generation 1282: 10180
Generation 1283: 10180
Generation 1284: 10180
Generation 1285: 10180
Generation 1286: 10180
Generation 1287: 10180
Generation 1288: 10180
Generation 1289: 10180
Generation 1290: 10180
Generation 1291: 10180
Generation 1292: 10180
Generation 1293: 10180
Generation 1294: 10180
Generation 1295: 10180
Generation 1296: 10180
Generation 1297: 10180
Generation 1298: 10180
Generation 1299: 10180
Generation 1300: 10180
Generation 1301: 10180
Generation 1302: 10180
Generation 1303: 10180
Generation 1304: 10180
Generation 1305: 10180
Generation 1306: 10180
Generation 1307: 10180
Generation 1308: 10180
Generation 1309: 10180
Generation 1310: 10180
Generation 1311: 10180
Generation 1312: 10180
Generation 1313: 10180
Generation 1314: 10180
Generation 1315: 10180
Generation 1316: 10180
Generation 1317: 10180
Generation 1318: 10180
